"occ","white","ed","exper"
"blue-collar",1,14,37
"blue-collar",1,9,4
"blue-collar",1,11,43
"blue-collar",1,12,14
"blue-collar",1,12,9
"blue-collar",1,8,33
"blue-collar",1,13,15
"blue-collar",1,12,12
"blue-collar",1,13,19
"blue-collar",0,8,23
"blue-collar",1,13,26
"blue-collar",1,13,13
"blue-collar",1,12,22
"blue-collar",1,11,4
"craft",1,12,22
"craft",1,11,10
"craft",1,9,21
"craft",0,6,38
"craft",1,12,11
"craft",1,9,47
"craft",1,13,18
"craft",1,12,8
"craft",1,12,13
"craft",1,12,10
"craft",1,11,41
"craft",1,11,49
"craft",1,13,4
"craft",1,12,9
"craft",1,12,33
"craft",1,12,2
"craft",1,15,11
"craft",1,6,56
"craft",1,13,31
"craft",1,14,13
"craft",1,11,33
"craft",1,12,41
"craft",1,12,6
"craft",1,12,21
"craft",1,13,25
"craft",1,15,13
"craft",1,12,2
"craft",1,12,23
"craft",1,12,32
"craft",1,12,46
"craft",1,12,13
"craft",1,12,29
"craft",1,12,30
"craft",1,10,50
"craft",1,10,32
"craft",1,12,29
"craft",0,16,9
"craft",1,8,49
"craft",0,14,9
"craft",1,14,41
"craft",1,12,9
"craft",1,11,5
"craft",1,12,17
"craft",1,11,9
"craft",1,12,30
"craft",0,7,29
"craft",1,14,9
"craft",1,12,37
"craft",0,7,44
"craft",1,12,22
"craft",1,12,26
"craft",1,12,10
"craft",1,13,33
"craft",1,8,41
"craft",1,12,39
"craft",0,12,29
"craft",1,14,38
"craft",0,12,12
"craft",0,12,9
"craft",1,14,10
"craft",0,16,9
"craft",1,12,20
"craft",1,11,9
"craft",1,14,41
"craft",1,14,6
"craft",1,12,10
"craft",0,14,11
"craft",1,12,21
"craft",1,13,20
"craft",1,14,31
"craft",1,16,4
"craft",1,13,12
"craft",1,14,17
"craft",1,6,40
"craft",1,12,53
"craft",1,14,35
"craft",1,14,12
"craft",1,15,13
"craft",1,8,48
"craft",1,12,23
"craft",1,12,11
"craft",1,12,9
"craft",1,12,9
"craft",1,12,4
"white-collar",1,16,34
"white-collar",1,12,12
"white-collar",0,13,21
"white-collar",1,15,12
"white-collar",1,12,17
"white-collar",1,12,21
"white-collar",1,12,20
"white-collar",0,12,35
"white-collar",1,15,44
"white-collar",1,16,6
"white-collar",1,14,5
"white-collar",1,11,42
"white-collar",1,12,34
"white-collar",1,16,37
"white-collar",1,13,19
"white-collar",1,12,32
"white-collar",1,12,25
"white-collar",1,12,19
"white-collar",1,12,50
"white-collar",1,12,6
"white-collar",1,12,49
"white-collar",1,11,3
"white-collar",1,18,49
"white-collar",1,15,39
"white-collar",1,15,20
"white-collar",1,12,10
"white-collar",1,12,5
"white-collar",1,13,10
"white-collar",1,16,30
"white-collar",1,15,31
"white-collar",1,12,9
"white-collar",1,12,8
"white-collar",1,13,49
"white-collar",1,16,11
"white-collar",1,12,2
"white-collar",1,12,6
"white-collar",1,10,12
"white-collar",1,17,5
"white-collar",1,12,3
"white-collar",1,16,6
"white-collar",1,8,38
"professional",1,16,9
"professional",1,16,10
"professional",1,14,37
"professional",1,14,13
"professional",1,13,11
"professional",0,16,21
"professional",1,16,4
"professional",1,16,2
"professional",1,16,6
"professional",1,17,13
"professional",1,16,13
"professional",1,16,18
"professional",1,14,44
"professional",1,16,9
"professional",1,16,38
"professional",1,14,25
"professional",1,13,32
"professional",1,17,18
"professional",1,19,22
"professional",1,12,20
"professional",1,18,11
"professional",1,16,9
"professional",1,14,14
"professional",1,15,2
"professional",1,14,8
"professional",0,12,26
"professional",1,15,10
"professional",1,12,8
"professional",1,16,25
"professional",1,16,8
"professional",1,14,20
"professional",1,12,11
"professional",1,20,23
"professional",1,19,25
"professional",1,13,31
"professional",1,16,2
"professional",1,14,25
"professional",1,16,3
"professional",0,19,16
"professional",1,14,6
"professional",1,19,17
"professional",1,15,23
"professional",1,14,16
"professional",1,13,19
"professional",1,14,9
"professional",1,19,14
"professional",1,14,45
"professional",1,16,17
"professional",1,13,42
"professional",1,12,15
"professional",1,12,17
"professional",1,16,8
"professional",1,17,15
"professional",1,18,37
"professional",1,16,33
"professional",1,11,16
"professional",1,18,13
"professional",1,15,44
"professional",1,16,28
"professional",1,11,41
"professional",1,16,25
"professional",1,12,66
"professional",1,12,31
"professional",1,20,25
"professional",1,17,17
"professional",1,16,23
"professional",1,17,34
"professional",1,16,21
"professional",1,15,4
"professional",1,8,41
"professional",1,12,8
"professional",1,19,2
"professional",1,16,20
"professional",1,15,38
"professional",0,16,23
"professional",1,18,31
"professional",1,20,19
"professional",1,20,4
"professional",0,19,29
"professional",0,12,47
"professional",1,20,27
"professional",1,16,11
"professional",1,13,24
"professional",1,14,12
"professional",1,19,14
"professional",1,16,22
"professional",1,18,11
"professional",1,16,16
"professional",1,19,18
"professional",1,13,17
"professional",1,13,41
"professional",1,16,6
"professional",1,16,3
"professional",1,19,6
"professional",1,18,36
"professional",1,12,3
"professional",1,18,6
"professional",1,13,6
"professional",1,17,9
"professional",1,16,6
"professional",1,19,14
"professional",1,19,7
"professional",0,19,11
"professional",1,14,14
"professional",1,16,13
"professional",1,15,24
"professional",1,18,7
"professional",1,13,19
"professional",1,12,43
"professional",1,12,31
"professional",1,7,39
"professional",1,16,12
